ID,Probable_cause
MIR2310.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the contact of the cruise ship Radiance of the Seas with the Sitka Sound Cruise Terminal pier was the master and bridge team’s overreliance on an electronic chart to identify the pier’s position relative to their planned rotation location, and the master’s misunderstanding of the clearance distances to the pier being called by the crewmember on the stern while the vessel was rotating. Contributing was the Sitka Sound Cruise Terminal not reporting the extension of the pier into the waterway to the appropriate hydrographic authority in order to update the relevant navigational chart."
MIR2324.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the sinking of the commercial fishing vessel Carol Jean was likely flooding from an unknown source while the vessel was anchored offshore and unattended. Contributing to the loss of the vessel was the captain’s inadequate planning for a tow, leading to the Carol Jean being anchored after the tow line failed and fouled its propeller."
MIR2330.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the collision between the Big D tow and the Carol McManus tow was the Carol McManus pilot incorrectly recalling the agreed-upon passing arrangement, which resulted in the Carol McManus tow encroaching on the downbound Big D tow."
MIR2404.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the collision between the tugboat Mark E Kuebler and the tanker Nisalah was the mate maneuvering the tugboat near the starboard quarter of the tanker, which resulted in the tugboat being drawn in toward the tanker by hydrodynamic forces that the tugboat had insufficient reserve power to counteract due to the transit speed of the vessels."
MIR2405.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the fire on board the fishing vessel Marlins II was the failure of an extension cord used to energize galley appliances when on shore power.
MIR2406.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the contact of the Susan K tow with the Natchez-Vidalia Bridge was the captain’s complacency, which resulted in his inattention to the tow’s position as it approached the bridge."
MIR2407.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the flooding and partial sinking of the Joanne Marie was the ingress of water into the engine room through a through-hull pipe located near the waterline due to an obstructed spring-loaded check valve on a cofferdam bilge pump discharge. Contributing to the sinking were inadequate procedures for securing unattended vessels.
MIR2408.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the capsizing of the dredging vessel WB Wood was a lack of company requirements for crew to regularly check compartments below deck, which resulted in undetected flooding from a through-hull pipe that was missing its overboard check valve and subsequent progressive flooding from compromised watertight bulkheads."
MIR2410.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the fire aboard the Kodiak Enterprise was an unknown electrical source within the dry stores room. Contributing to the risk to the onboard crewmembers and to the severity of the ﬁre was the vessel’s inadequate ﬁre detection and notiﬁcation system, which was not designed to sound in crew accommodation spaces, and failed to wirelessly alert shoreside contacts."
MIR2412.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the contact of the Queen City tow with the Vane Dike was the pilot not effectively compensating for the strong outdraft while navigating toward the lock channel entrance during a period of high-flow conditions.
MIR2413.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the fire on board the passenger vessel Lady Delray was either the failure of a two-door, keg-type refrigeration unit’s hermetically sealed compressor or an unknown electrical source in the bulkhead directly behind the unit, which ignited wood paneling and other nearby combustible materials."
MIR2414 CORRECTED.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the grounding of the articulated tug and barge Cingluku/Jungjuk was the captain not identifying a rock that was indicated on the displayed electronic navigation chart when planning the vessel’s route into Shakmanof Cove. Contributing was the captain not using all available navigational resources, including the Coast Pilot and the grounding avoidance features of the electronic chart system, when planning the route."
MIR2415.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the fire aboard the passenger vessel Qualifier 105 was an undetermined electrical source that ignited a stateroom ceiling. Contributing to the extent of the fire damage was the substantial use of combustible materials composing the stateroom ceilings and bulkheads throughout the vessel’s accommodation spaces.
MIR2416.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the grounding of the bulk carrier American Mariner was the master maneuvering the vessel away from the dock and into the channel while alone on the bridge, which required him to multitask (navigation, steering, and lookout duties) and resulted in the vessel overshooting the turn into the channel and running aground on the shoals on the opposite side of the channel."
MIR2418.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the fire aboard the towing vessel Desperado was a hydraulic hose that likely exceeded its bend radius, eventually causing the hose to rupture, resulting in hydraulic oil spraying onto a hot engine exhaust manifold and turbocharger and igniting."
MIR2419.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the grounding of, and resulting hull damage to, the self-unloading bulk carrier John J Boland was inadequate operating company guidance to create a load plan with sufficient underkeel clearance and the master’s decision to use the main engine to free the vessel after it was aground. Contributing was the master and first mate becoming desensitized to the risk of vessel damage associated with grounding during loading operations."
MIR2420.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the flooding and sinking of the towing vessel Jacqueline A was a lack of watertight integrity due to the poor material condition of the vessel’s bulwarks and main deck plating, which allowed water to ingress through wastage holes into the lazarette, and unsealed penetrations in transverse bulkheads, which led to progressive flooding forward into the engine room. Contributing to the sinking was the lack of a high-water bilge sensor in the lazarette, which prevented early detection of flooding into the space."
MIR2421.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the contact and subsequent fire at the Sunset Marina was a houseboat’s “duckbill” bow striking a gasoline fuel dispenser (pump) when docking in windy conditions, which caused an undetermined electrical source on the dock to ignite vapors from the broken gasoline fuel line. Contributing to the contact was the proximity of the gas pump to the dock edge."
MIR2422.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the contact of the John 3:16 with an industrial cargo pier was the pilot falling asleep while navigating due to an accumulated sleep debt. Contributing to the pilot’s fatigue was cell phone use during off-watch time, which significantly limited the pilot’s opportunity for sleep."
MIR2423.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the flooding and partial sinking of the towing vessel Uncle Blue was a lack of watertight integrity due to the poor condition of the hull, which allowed water to ingress through wastage holes into the lazarette. Contributing to the sinking were unsealed penetrations in transverse bulkheads, which allowed for progressive flooding forward into the engine room, and the lack of a high-water bilge sensor in the lazarette, which prevented early detection of flooding into the space."
MIR2424.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the contact of the Danny Terral with the Port of Lake Charles pier was the mate misjudging the approach to an unlit, unfamiliar pier in the dark."
MIR2425.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the breakaway of the bulk carrier Sirocco from the Convent Marine Terminal dock and the subsequent collision with moored barge MEM 5087 was the bow coming off the dock during cargo loading in the forward holds, exposing more of the vessel’s underwater hull to the strong river current, resulting in the brake-holding capacities of the ship’s mooring winches being exceeded and the lines paying out until the vessel broke free from the dock."
