ID,Major Category Abbreviation,Subclass Abbreviation
MIR2310.pdf,PUA,TE
MIR2324.pdf,UA,DE
MIR2330.pdf,UA,DE
MIR2404.pdf,UA,DE
MIR2405.pdf,PUA,TE
MIR2406.pdf,PUA,AMS
MIR2407.pdf,OI,OP
MIR2408.pdf,OI,OP
MIR2410.pdf,OI,OP
MIR2412.pdf,UA,DE
MIR2413.pdf,PUA,TE
MIR2414 CORRECTED.pdf,UA,DE
MIR2415.pdf,OI,OP
MIR2416.pdf,PUA,AMS
MIR2418.pdf,PUA,TE
MIR2419.pdf,OI,OP
MIR2420.pdf,OI,RM
MIR2421.pdf,PUA,PhyE
MIR2422.pdf,PUA,AMS
MIR2423.pdf,OI,RM
MIR2424.pdf,UA,PE
MIR2425.pdf,PUA,TE
MIR2426.pdf,UA,DE
MIR2428.pdf,PUA,TE
MIR2430.pdf,PUA,AMS
MIR2432.pdf,PUA,CC
MIR2434.pdf,PUA,TE
MIR2435.pdf,UA,DE
